Source Row,Compound Name,CASRN,Source,Standardized SMILES,Original SMILES,Supplied InChIKey,Curation Status,Reason,Evidence Tier,Resolution Path,Automation Eligibility,Suggested Next Action
202,Branched alkane (C=23) related compound,not given,Page 31: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
203,Cyanox 2246 tert-Butylcyclopentadiene,not given,Page 46: Table C2: LC-MS Negative Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
204,Cyanox 425 (loss of tert-Butyl),not given,Page 46: Table C2: LC-MS Negative Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
205,Cyclohexanecarboxylic acid alkyl ester related compound,not given,Page 32: Table B2 (cont.): GC-MS Results for the isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
206,Diethylmethylhydroxybenzene pentyl hydroxy propylene glycol,not given,Page 43: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
207,Ethylmethylbenzenamine ethylene glycol methyl carboxylate ethylmethylbenzene(methylene)benzene,not given,Page 43: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
208,Ethylmethylbenzene ethylene glycol methyl carboxylate pentadiene,not given,Page 43: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
209,Ethylmethylhydroxystyrene pentyl hydroxy butylene glycol dimethylsiloxane (loss of H2),not given,Page 47: Table C3: LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
210,Ethylmethylhydroxystyrene pentyl hydroxy dimer dihydroxy,not given,Page 47: Table C3: LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
211,Ethylmethylstyrene hydroxy pentyl hydroxy,not given,Page 44: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
212,Hydroxybutyl dodecanoate oxo,not given,Page 44: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
213,Methylene(methylbenzene)benzenamine ethylene glycol,not given,Page 44: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
214,Methylenebis(styrene) tert-Butyl dihydroxy,not given,Page 44: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
215,Methylsytrene methylthio butanamide methyl hydroxy,not given,Page 48: Table C3 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (concentrated),,,,Needs structure,No standardized or original SMILES supplied,Name-only evidence,Obtain an authoritative structure from source documentation or an approved reference source; retain name-only status if no unique identity exists,Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
216,Pentafluoro aminio polydimethylsiloxane (n=01) related compound 01,not given,Page 51: Table C6: LC-MS Negative Ion Mode Results for the Water (50°C) Extracts of the Test Article (non-concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
217,Pentafluoro aminio polydimethylsiloxane (n=02) related compound 01,not given,Page 51: Table C6: LC-MS Negative Ion Mode Results for the Water (50°C) Extracts of the Test Article (non-concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
218,Pentafluoro aminio polydimethylsiloxane (n=03) related compound 01,not given,Page 51: Table C6: LC-MS Negative Ion Mode Results for the Water (50°C) Extracts of the Test Article (non-concentrated),,,,Ambiguous identity,No standardized or original SMILES supplied; name contains an ambiguity annotation,Insufficient identity evidence,Review the source table and analytical evidence; do not create a structure from the annotation text,Ineligible until identity is approved,Review source evidence and obtain an approved structure; do not infer from name text
219,"Triglyceride, di-hydroxy (18-18-18)",1312106-39-0,Page 45: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,CASRN supplied — verify scope,"Resolve through an approved reference source by CASRN, then verify structure against the reported analytical context",Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
220,"Triglyceride, tris-hydroxy (18-18-18)",1312106-39-0,Page 45: Table C1 (cont.): LC-MS Positive Ion Mode Results for the Isooctane Extracts of the Test Article (non-concentrated),,,,Needs structure,No standardized or original SMILES supplied,CASRN supplied — verify scope,"Resolve through an approved reference source by CASRN, then verify structure against the reported analytical context",Ineligible until structure is reviewer-approved,Review source evidence and obtain an approved structure; do not infer from name text
